编号,英文名,效力球队(全称),效力球队(缩写),中文译名
76599,Larry Drew,Detroit Pistons|Sacramento Kings|LA Clippers|Los Angeles Lakers,DET|SAC|LAC|LAL,
203580,Larry Drew II,Philadelphia 76ers|New Orleans Pelicans,PHI|NOP,
17,Clyde Drexler,Portland Trail Blazers|Houston Rockets,POR|HOU,
76603,Terry Driscoll,Detroit Pistons|Washington Wizards|Milwaukee Bucks,DET|WAS|MIL,
1542,Predrag Drobnjak,Oklahoma City Thunder|LA Clippers|Atlanta Hawks,OKC|LAC|ATL,
203083,Andre Drummond,Detroit Pistons|Cleveland Cavaliers|Los Angeles Lakers|Philadelphia 76ers|Brooklyn Nets|Chicago Bulls,DET|CLE|LAL|PHI|BKN|CHI,
76623,Dennis DuVal,Washington Wizards|Atlanta Hawks,WAS|ATL,
1630537,Chris Duarte,Indiana Pacers|Sacramento Kings|Chicago Bulls,IND|SAC|CHI,
404,Kevin Duckworth,San Antonio Spurs|Portland Trail Blazers|Washington Wizards|Milwaukee Bucks|LA Clippers,SAS|POR|WAS|MIL|LAC,
76607,Charles Dudley,Oklahoma City Thunder|Golden State Warriors|Chicago Bulls,OKC|GSW|CHI,
201,Chris Dudley,Cleveland Cavaliers|Brooklyn Nets|Portland Trail Blazers|New York Knicks|Phoenix Suns,CLE|BKN|POR|NYK|PHX,
201162,Jared Dudley,Charlotte Hornets|Phoenix Suns|LA Clippers|Milwaukee Bucks|Washington Wizards|Brooklyn Nets|Los Angeles Lakers,CHA|PHX|LAC|MIL|WAS|BKN|LAL,
76608,Terry Duerod,Detroit Pistons|Boston Celtics|Dallas Mavericks|Golden State Warriors,DET|BOS|DAL|GSW,
76609,Bob Duffy,Boston Celtics,BOS,
76610,Bob Duffy,Atlanta Hawks|Detroit Pistons,ATL|DET,
2768,Chris Duhon,Chicago Bulls|New York Knicks|Orlando Magic|Los Angeles Lakers,CHI|NYK|ORL|LAL,
1630561,David Duke Jr.,Brooklyn Nets|San Antonio Spurs,BKN|SAS,
76611,Walter Dukes,New York Knicks|Los Angeles Lakers|Detroit Pistons,NYK|LAL|DET,
247,Joe Dumars,Detroit Pistons,DET,
30,Richard Dumas,Phoenix Suns|Philadelphia 76ers,PHX|PHI,
434,Tony Dumas,Dallas Mavericks|Phoenix Suns|Cleveland Cavaliers,DAL|PHX|CLE,
76615,Andy Duncan,Sacramento Kings|Boston Celtics,SAC|BOS,
1495,Tim Duncan,San Antonio Spurs,SAS,
2399,Mike Dunleavy,Golden State Warriors|Indiana Pacers|Milwaukee Bucks|Chicago Bulls|Cleveland Cavaliers|Atlanta Hawks,GSW|IND|MIL|CHI|CLE|ATL,
76616,Mike Dunleavy,Philadelphia 76ers|Houston Rockets|San Antonio Spurs|Milwaukee Bucks,PHI|HOU|SAS|MIL,
1627739,Kris Dunn,Minnesota Timberwolves|Chicago Bulls|Atlanta Hawks|Portland Trail Blazers|Utah Jazz|LA Clippers,MIN|CHI|ATL|POR|UTA|LAC,
1642346,Ryan Dunn,Phoenix Suns,PHX,
76618,T.R. Dunn,Portland Trail Blazers|Denver Nuggets|Phoenix Suns,POR|DEN|PHX,
2648,Ronald Dupree,Chicago Bulls|Detroit Pistons|Minnesota Timberwolves|Oklahoma City Thunder|Toronto Raptors,CHI|DET|MIN|OKC|TOR,
201142,Kevin Durant,Oklahoma City Thunder|Golden State Warriors|Brooklyn Nets|Phoenix Suns|Houston Rockets,OKC|GSW|BKN|PHX|HOU,
1631105,Jalen Duren,Detroit Pistons,DET,
76619,John Duren,Utah Jazz|Indiana Pacers,UTA|IND,
1090,Pat Durham,Golden State Warriors|Minnesota Timberwolves,GSW|MIN,
76621,Devin Durrant,Indiana Pacers|Phoenix Suns,IND|PHX,
76622,Ken Durrett,Sacramento Kings|Philadelphia 76ers,SAC|PHI,
289,Ledell Eackles,Washington Wizards|Miami Heat,WAS|MIA,
76628,Jim Eakins,Sacramento Kings|Milwaukee Bucks|San Antonio Spurs,SAC|MIL|SAS,
768,Acie Earl,Boston Celtics|Toronto Raptors|Milwaukee Bucks,BOS|TOR|MIL,
203921,Cleanthony Early,New York Knicks,NYK,
1631106,Tari Eason,Houston Rockets,HOU,
76631,Mark Eaton,Utah Jazz,UTA,
76632,Jerry Eaves,Utah Jazz|Atlanta Hawks|Sacramento Kings,UTA|ATL|SAC,
202365,Devin Ebanks,Los Angeles Lakers,LAL,
76634,Al Eberhard,Detroit Pistons,DET,
2569,Ndudi Ebi,Minnesota Timberwolves,MIN,
204067,Jarell Eddie,Washington Wizards|Phoenix Suns|Boston Celtics|Chicago Bulls,WAS|PHX|BOS|CHI,
76636,Thomas Eddleman,Atlanta Hawks|Detroit Pistons,ATL|DET,
1641744,Zach Edey,Memphis Grizzlies,MEM,
76638,Keith Edmonson,Atlanta Hawks|San Antonio Spurs|Denver Nuggets,ATL|SAS|DEN,
721,Tyus Edney,Sacramento Kings|Boston Celtics|Indiana Pacers,SAC|BOS|IND,
1630162,Anthony Edwards,Minnesota Timberwolves,MIN,
898,Blue Edwards,Utah Jazz|Milwaukee Bucks|Boston Celtics|Memphis Grizzlies|Miami Heat,UTA|MIL|BOS|MEM|MIA,
1629035,Carsen Edwards,Boston Celtics|Detroit Pistons,BOS|DET,
346,Doug Edwards,Atlanta Hawks|Memphis Grizzlies,ATL|MEM,
76641,Franklin Edwards,Philadelphia 76ers|LA Clippers|Sacramento Kings,PHI|LAC|SAC,
229,James Edwards,Los Angeles Lakers|Indiana Pacers|Cleveland Cavaliers|Phoenix Suns|Detroit Pistons|LA Clippers|Portland Trail Blazers|Chicago Bulls,LAL|IND|CLE|PHX|DET|LAC|POR|CHI,
2823,John Edwards,Indiana Pacers|Atlanta Hawks,IND|ATL,
1642348,Justin Edwards,Philadelphia 76ers,PHI,
1630556,Kessler Edwards,Brooklyn Nets|Sacramento Kings|Dallas Mavericks,BKN|SAC|DAL,
236,Kevin Edwards,Miami Heat|Brooklyn Nets|Orlando Magic|Memphis Grizzlies,MIA|BKN|ORL|MEM,
76647,Johnny Egan,Detroit Pistons|New York Knicks|Washington Wizards|Los Angeles Lakers|Cleveland Cavaliers|Houston Rockets,DET|NYK|WAS|LAL|CLE|HOU,
76649,Eddie Ehlers,Boston Celtics,BOS,
378,Craig Ehlo,Houston Rockets|Cleveland Cavaliers|Atlanta Hawks|Oklahoma City Thunder,HOU|CLE|ATL|OKC,
458,Howard Eisley,Minnesota Timberwolves|San Antonio Spurs|Utah Jazz|Dallas Mavericks|New York Knicks|Phoenix Suns|LA Clippers|Denver Nuggets,MIN|SAS|UTA|DAL|NYK|PHX|LAC|DEN,
1918,Obinna Ekezie,Memphis Grizzlies|Washington Wizards|Dallas Mavericks|LA Clippers|Atlanta Hawks,MEM|WAS|DAL|LAC|ATL,
53,Mario Elie,Philadelphia 76ers|Golden State Warriors|Portland Trail Blazers|Houston Rockets|San Antonio Spurs|Phoenix Suns,PHI|GSW|POR|HOU|SAS|PHX,
1629604,CJ Elleby,Portland Trail Blazers,POR,
76655,Ray Ellefson,Los Angeles Lakers|New York Knicks,LAL|NYK,
1627740,Henry Ellenson,Detroit Pistons|New York Knicks|Brooklyn Nets|Toronto Raptors,DET|NYK|BKN|TOR,
201961,Wayne Ellington,Minnesota Timberwolves|Memphis Grizzlies|Cleveland Cavaliers|Dallas Mavericks|Los Angeles Lakers|Brooklyn Nets|Miami Heat|Detroit Pistons|New York Knicks,MIN|MEM|CLE|DAL|LAL|BKN|MIA|DET|NYK,
76656,Bob Elliott,Brooklyn Nets,BKN,
251,Sean Elliott,San Antonio Spurs|Detroit Pistons,SAS|DET,
76658,Alexander Ellis,Los Angeles Lakers,LAL,
76664,Bo Ellis,Denver Nuggets,DEN,
107,Dale Ellis,Dallas Mavericks|Oklahoma City Thunder|Milwaukee Bucks|San Antonio Spurs|Denver Nuggets|Charlotte Hornets,DAL|OKC|MIL|SAS|DEN|CHA,
1677,Harold Ellis,LA Clippers|Denver Nuggets,LAC|DEN,
76661,Joe Ellis,Golden State Warriors,GSW,
1631165,Keon Ellis,Sacramento Kings|Cleveland Cavaliers,SAC|CLE,
111,LaPhonso Ellis,Denver Nuggets|Atlanta Hawks|Minnesota Timberwolves|Miami Heat,DEN|ATL|MIN|MIA,
1034,LeRon Ellis,LA Clippers|Charlotte Hornets|Miami Heat,LAC|CHA|MIA,
76663,Leroy Ellis,Los Angeles Lakers|Washington Wizards|Portland Trail Blazers|Philadelphia 76ers,LAL|WAS|POR|PHI,
101145,Monta Ellis,Golden State Warriors|Milwaukee Bucks|Dallas Mavericks|Indiana Pacers,GSW|MIL|DAL|IND,
442,Pervis Ellison,Sacramento Kings|Washington Wizards|Boston Celtics|Oklahoma City Thunder,SAC|WAS|BOS|OKC,
600010,Len Elmore,Indiana Pacers|Sacramento Kings|Milwaukee Bucks|Brooklyn Nets|New York Knicks,IND|SAC|MIL|BKN|NYK,
1922,Francisco Elson,Denver Nuggets|San Antonio Spurs|Oklahoma City Thunder|Milwaukee Bucks|Philadelphia 76ers|Utah Jazz,DEN|SAS|OKC|MIL|PHI|UTA,
2408,Melvin Ely,LA Clippers|Charlotte Hornets|San Antonio Spurs|New Orleans Pelicans|Denver Nuggets,LAC|CHA|SAS|NOP|DEN,
203954,Joel Embiid,Philadelphia 76ers,PHI,
76668,Wayne Embry,Sacramento Kings|Boston Celtics|Milwaukee Bucks,SAC|BOS|MIL,
2765,Andre Emmett,Memphis Grizzlies|Brooklyn Nets,MEM|BKN,
76670,Chris Engler,Golden State Warriors|Brooklyn Nets|Chicago Bulls|Milwaukee Bucks|Portland Trail Blazers,GSW|BKN|CHI|MIL|POR,
76672,A.J. English,Washington Wizards,WAS,
76673,Alex English,Milwaukee Bucks|Indiana Pacers|Denver Nuggets|Dallas Mavericks,MIL|IND|DEN|DAL,
76676,Jojo English,Chicago Bulls,CHI,
76677,Gene Englund,Atlanta Hawks|Boston Celtics,ATL|BOS,
203898,Tyler Ennis,Phoenix Suns|Milwaukee Bucks|Houston Rockets|Los Angeles Lakers,PHX|MIL|HOU|LAL,
203516,James Ennis III,Miami Heat|Memphis Grizzlies|New Orleans Pelicans|Detroit Pistons|Houston Rockets|Philadelphia 76ers|Orlando Magic|Brooklyn Nets|LA Clippers|Denver Nuggets,MIA|MEM|NOP|DET|HOU|PHI|ORL|BKN|LAC|DEN,
201623,Semih Erden,Boston Celtics|Cleveland Cavaliers,BOS|CLE,
76680,Keith Erickson,Golden State Warriors|Chicago Bulls|Los Angeles Lakers|Phoenix Suns,GSW|CHI|LAL|PHX,
76681,Julius Erving,Philadelphia 76ers,PHI,
1915,Evan Eschmeyer,Brooklyn Nets|Dallas Mavericks,BKN|DAL,
1630623,Tyson Etienne,Brooklyn Nets,BKN,
1629234,Drew Eubanks,San Antonio Spurs|Portland Trail Blazers|Phoenix Suns|Utah Jazz|LA Clippers|Sacramento Kings,SAS|POR|PHX|UTA|LAC|SAC,
967,Brian Evans,Orlando Magic|Brooklyn Nets|Minnesota Timberwolves,ORL|BKN|MIN,
1628980,Jacob Evans,Golden State Warriors|Minnesota Timberwolves,GSW|MIN,
1628393,Jawun Evans,LA Clippers|Phoenix Suns|Oklahoma City Thunder,LAC|PHX|OKC,
202379,Jeremy Evans,Utah Jazz|Dallas Mavericks|Atlanta Hawks,UTA|DAL|ATL,
2230,Maurice Evans,Minnesota Timberwolves|Sacramento Kings|Detroit Pistons|Los Angeles Lakers|Orlando Magic|Atlanta Hawks|Washington Wizards,MIN|SAC|DET|LAL|ORL|ATL|WAS,
76686,Mike Evans,San Antonio Spurs|Milwaukee Bucks|Cleveland Cavaliers|Denver Nuggets,SAS|MIL|CLE|DEN,
2501,Reggie Evans,Oklahoma City Thunder|Denver Nuggets|Philadelphia 76ers|Toronto Raptors|LA Clippers|Brooklyn Nets|Sacramento Kings,OKC|DEN|PHI|TOR|LAC|BKN|SAC,
201936,Tyreke Evans,Sacramento Kings|New Orleans Pelicans|Memphis Grizzlies|Indiana Pacers,SAC|NOP|MEM|IND,
1641787,Tosan Evbuomwan,Memphis Grizzlies|Detroit Pistons|Brooklyn Nets|New York Knicks,MEM|DET|BKN|NYK,
101137,Daniel Ewing,LA Clippers,LAC,
121,Patrick Ewing,New York Knicks|Oklahoma City Thunder|Orlando Magic,NYK|OKC|ORL,
203957,Dante Exum,Utah Jazz|Cleveland Cavaliers|Dallas Mavericks,UTA|CLE|DAL,
201963,Christian Eyenga,Cleveland Cavaliers|Los Angeles Lakers,CLE|LAL,
203105,Festus Ezeli,Golden State Warriors,GSW,
76689,Johnny Ezersky,Boston Celtics,BOS,
1629605,Tacko Fall,Boston Celtics|Cleveland Cavaliers,BOS|CLE,
76692,Phil Farbman,Golden State Warriors|Boston Celtics,GSW|BOS,
202702,Kenneth Faried,Denver Nuggets|Brooklyn Nets|Houston Rockets,DEN|BKN|HOU,
76693,Dick Farley,Philadelphia 76ers|Detroit Pistons,PHI|DET,
200770,Jordan Farmar,Los Angeles Lakers|Brooklyn Nets|LA Clippers|Memphis Grizzlies|Sacramento Kings,LAL|BKN|LAC|MEM|SAC,
2824,Desmon Farmer,Oklahoma City Thunder|San Antonio Spurs,OKC|SAS,
76695,Jim Farmer,Dallas Mavericks|Utah Jazz|Oklahoma City Thunder|Philadelphia 76ers|Denver Nuggets,DAL|UTA|OKC|PHI|DEN,
76694,Mike Farmer,New York Knicks|Sacramento Kings|Atlanta Hawks,NYK|SAC|ATL,
1108,Tony Farmer,Charlotte Hornets|Golden State Warriors,CHA|GSW,
202324,Derrick Favors,Brooklyn Nets|Utah Jazz|New Orleans Pelicans|Oklahoma City Thunder,BKN|UTA|NOP|OKC,
201174,Nick Fazekas,Dallas Mavericks|LA Clippers,DAL|LAC,
994,Jamie Feick,Charlotte Hornets|San Antonio Spurs|Milwaukee Bucks|Brooklyn Nets,CHA|SAS|MIL|BKN,
76702,George Feigenbaum,Atlanta Hawks,ATL,
76703,Dave Feitl,Houston Rockets|Golden State Warriors|Washington Wizards|Brooklyn Nets,HOU|GSW|WAS|BKN,
1627770,Kay Felder,Cleveland Cavaliers|Chicago Bulls|Detroit Pistons,CLE|CHI|DET,
1626245,Cristiano Felicio,Chicago Bulls,CHI,
76704,Ray Felix,New York Knicks|Los Angeles Lakers,NYK|LAL,
101109,Raymond Felton,Charlotte Hornets|New York Knicks|Denver Nuggets|Portland Trail Blazers|Dallas Mavericks|LA Clippers|Oklahoma City Thunder,CHA|NYK|DEN|POR|DAL|LAC|OKC,
76705,Jake Fendley,Detroit Pistons,DET,
1628390,Terrance Ferguson,Oklahoma City Thunder|Philadelphia 76ers,OKC|PHI,
201164,Rudy Fernandez,Portland Trail Blazers|Denver Nuggets,POR|DEN,
1628981,Bruno Fernando,Atlanta Hawks|Boston Celtics|Houston Rockets|Toronto Raptors,ATL|BOS|HOU|TOR,
76707,Eric Fernsten,Cleveland Cavaliers|Chicago Bulls|Boston Celtics|New York Knicks,CLE|CHI|BOS|NYK,
76708,Al Ferrari,Atlanta Hawks|Washington Wizards,ATL|WAS,
273,Duane Ferrell,Atlanta Hawks|Indiana Pacers|Golden State Warriors,ATL|IND|GSW,
1627812,Yogi Ferrell,Brooklyn Nets|Dallas Mavericks|Sacramento Kings|Cleveland Cavaliers|LA Clippers,BKN|DAL|SAC|CLE|LAC,
76711,Arnie Ferrin,Los Angeles Lakers,LAL,
76712,Bob Ferry,Atlanta Hawks|Detroit Pistons|Washington Wizards,ATL|DET|WAS,
198,Danny Ferry,Cleveland Cavaliers|San Antonio Spurs,CLE|SAS,
201178,Kyrylo Fesenko,Utah Jazz|Indiana Pacers,UTA|IND,
76713,Kenny Fields,Milwaukee Bucks|LA Clippers,MIL|LAC,
202361,Landry Fields,New York Knicks|Toronto Raptors,NYK|TOR,
1642271,Kyle Filipowski,Utah Jazz,UTA,
76715,Greg Fillmore,New York Knicks,NYK,
76716,Hank Finkel,Los Angeles Lakers|Houston Rockets|Boston Celtics,LAL|HOU|BOS,
714,Michael Finley,Phoenix Suns|Dallas Mavericks|San Antonio Spurs|Boston Celtics,PHX|DAL|SAS|BOS,
76717,Danny Finn,Golden State Warriors,GSW,
1627827,Dorian Finney-Smith,Dallas Mavericks|Brooklyn Nets|Los Angeles Lakers|Houston Rockets,DAL|BKN|LAL|HOU,
900,Matt Fish,LA Clippers|New York Knicks|Denver Nuggets|Washington Wizards|Miami Heat,LAC|NYK|DEN|WAS|MIA,
965,Derek Fisher,Los Angeles Lakers|Golden State Warriors|Utah Jazz|Oklahoma City Thunder|Dallas Mavericks,LAL|GSW|UTA|OKC|DAL,
1630238,Malik Fitts,LA Clippers|Utah Jazz|Boston Celtics,LAC|UTA|BOS,
76720,Bob Fitzgerald,New York Knicks|Sacramento Kings,NYK|SAC,
2033,Marcus Fizer,Chicago Bulls|Milwaukee Bucks|New Orleans Pelicans,CHI|MIL|NOP,
1641745,Adam Flagler,Oklahoma City Thunder,OKC,
76721,Jerry Fleishman,Golden State Warriors,GSW,
76723,Ed Fleming,Sacramento Kings|Los Angeles Lakers,SAC|LAL,
313,Vern Fleming,Indiana Pacers|Brooklyn Nets,IND|BKN,
2784,Luis Flores,Golden State Warriors|Denver Nuggets,GSW|DEN,
1642280,Trentyn Flowers,LA Clippers|Chicago Bulls,LAC|CHI,
76726,Sleepy Floyd,Brooklyn Nets|Golden State Warriors|Houston Rockets|San Antonio Spurs,BKN|GSW|HOU|SAS,
201938,Jonny Flynn,Minnesota Timberwolves|Houston Rockets|Portland Trail Blazers,MIN|HOU|POR,
1630201,Malachi Flynn,Toronto Raptors|New York Knicks|Detroit Pistons|Charlotte Hornets,TOR|NYK|DET|CHA,
76727,Mike Flynn,Indiana Pacers,IND,
1631323,Simone Fontecchio,Utah Jazz|Detroit Pistons|Miami Heat,UTA|DET|MIA,
201814,Gary Forbes,Denver Nuggets|Toronto Raptors,DEN|TOR,
76732,Alphonso Ford,Oklahoma City Thunder|Philadelphia 76ers,OKC|PHI,
2228,Alton Ford,Phoenix Suns|Houston Rockets,PHX|HOU,
76733,Chris Ford,Detroit Pistons|Boston Celtics,DET|BOS,
76734,Don Ford,Los Angeles Lakers|Cleveland Cavaliers,LAL|CLE,
76735,Jake Ford,Oklahoma City Thunder,OKC,
76736,Phil Ford,Sacramento Kings|Brooklyn Nets|Milwaukee Bucks|Houston Rockets,SAC|BKN|MIL|HOU,
2551,T.J. Ford,Milwaukee Bucks|Toronto Raptors|Indiana Pacers|San Antonio Spurs,MIL|TOR|IND|SAS,
76739,Bayard Forrest,Phoenix Suns,PHX,
1630235,Trent Forrest,Utah Jazz|Atlanta Hawks,UTA|ATL,
2218,Joseph Forte,Boston Celtics|Oklahoma City Thunder,BOS|OKC,
202622,Courtney Fortson,LA Clippers|Houston Rockets,LAC|HOU,
1504,Danny Fortson,Denver Nuggets|Boston Celtics|Golden State Warriors|Dallas Mavericks|Oklahoma City Thunder,DEN|BOS|GSW|DAL|OKC,
76740,Fred Foster,Sacramento Kings|Philadelphia 76ers|Detroit Pistons|Cleveland Cavaliers|LA Clippers,SAC|PHI|DET|CLE|LAC,
323,Greg Foster,Washington Wizards|Atlanta Hawks|Milwaukee Bucks|Chicago Bulls|Minnesota Timberwolves|Utah Jazz|Oklahoma City Thunder|Los Angeles Lakers|Toronto Raptors,WAS|ATL|MIL|CHI|MIN|UTA|OKC|LAL|TOR,
1902,Jeff Foster,Indiana Pacers,IND,
76742,Rod Foster,Phoenix Suns,PHX,
203095,Evan Fournier,Denver Nuggets|Orlando Magic|Boston Celtics|New York Knicks|Detroit Pistons,DEN|ORL|BOS|NYK|DET,
76744,Larry Foust,Detroit Pistons|Los Angeles Lakers|Atlanta Hawks,DET|LAL|ATL,
1762,Tremaine Fowlkes,LA Clippers|Detroit Pistons|Indiana Pacers,LAC|DET|IND,
1628368,De'Aaron Fox,Sacramento Kings|San Antonio Spurs,SAC|SAS,
76747,Jim Fox,Detroit Pistons|Sacramento Kings|Phoenix Suns|Chicago Bulls|Oklahoma City Thunder|Milwaukee Bucks|Brooklyn Nets,DET|SAC|PHX|CHI|OKC|MIL|BKN,
296,Rick Fox,Boston Celtics|Los Angeles Lakers,BOS|LAL,
200751,Randy Foye,Minnesota Timberwolves|Washington Wizards|LA Clippers|Utah Jazz|Denver Nuggets|Oklahoma City Thunder|Brooklyn Nets,MIN|WAS|LAC|UTA|DEN|OKC|BKN,
1502,Adonal Foyle,Golden State Warriors|Orlando Magic|Memphis Grizzlies,GSW|ORL|MEM,
2499,Richie Frahm,Oklahoma City Thunder|Portland Trail Blazers|Minnesota Timberwolves|Houston Rockets|LA Clippers,OKC|POR|MIN|HOU|LAC,
1883,Steve Francis,Houston Rockets|Orlando Magic|New York Knicks,HOU|ORL|NYK,
76748,Tellis Frank,Golden State Warriors|Miami Heat|Minnesota Timberwolves,GSW|MIA|MIN,
203479,Jamaal Franklin,Memphis Grizzlies|Denver Nuggets,MEM|DEN,
204025,Tim Frazier,Philadelphia 76ers|Portland Trail Blazers|New Orleans Pelicans|Washington Wizards|Milwaukee Bucks|Detroit Pistons|Memphis Grizzlies|Orlando Magic|Cleveland Cavaliers,PHI|POR|NOP|WAS|MIL|DET|MEM|ORL|CLE,
76750,Walt Frazier,New York Knicks|Cleveland Cavaliers,NYK|CLE,
1628982,Melvin Frazier Jr.,Orlando Magic|Oklahoma City Thunder,ORL|OKC,
76752,Anthony Frederick,Indiana Pacers|Sacramento Kings|Charlotte Hornets,IND|SAC|CHA,
202690,Jimmer Fredette,Sacramento Kings|Chicago Bulls|New Orleans Pelicans|New York Knicks|Phoenix Suns,SAC|CHI|NOP|NYK|PHX,
76753,World Free,Philadelphia 76ers|LA Clippers|Golden State Warriors|Cleveland Cavaliers|Houston Rockets,PHI|LAC|GSW|CLE|HOU,
202683,Enes Freedom,Utah Jazz|Oklahoma City Thunder|New York Knicks|Portland Trail Blazers|Boston Celtics,UTA|OKC|NYK|POR|BOS,
200777,Joel Freeland,Portland Trail Blazers,POR,
1642402,Enrique Freeman,Indiana Pacers|Minnesota Timberwolves,IND|MIN,
76755,Gary Freeman,Milwaukee Bucks|Cleveland Cavaliers,MIL|CLE,
2782,Matt Freije,New Orleans Pelicans|Atlanta Hawks,NOP|ATL,
76760,Jim Fritsche,Detroit Pistons,DET,
101112,Channing Frye,New York Knicks|Portland Trail Blazers|Phoenix Suns|Orlando Magic|Cleveland Cavaliers|Los Angeles Lakers,NYK|POR|PHX|ORL|CLE|LAL,
76761,Bernie Fryer,Portland Trail Blazers|Utah Jazz,POR|UTA,
1641788,Alex Fudge,Los Angeles Lakers|Dallas Mavericks,LAL|DAL,
76764,Joe Fulks,Golden State Warriors,GSW,
957,Todd Fuller,Golden State Warriors|Utah Jazz|Charlotte Hornets|Miami Heat,GSW|UTA|CHA|MIA,
1628365,Markelle Fultz,Philadelphia 76ers|Orlando Magic|Sacramento Kings|Toronto Raptors,PHI|ORL|SAC|TOR,
1444,Lawrence Funderburke,Sacramento Kings|Chicago Bulls,SAC|CHI,
76767,Terry Furlow,Philadelphia 76ers|Cleveland Cavaliers|Atlanta Hawks|Utah Jazz,PHI|CLE|ATL|UTA,
1642277,Johnny Furphy,Indiana Pacers,IND,
76768,Billy Gabor,Philadelphia 76ers,PHI,
1629117,Wenyen Gabriel,Sacramento Kings|Portland Trail Blazers|New Orleans Pelicans|Brooklyn Nets|LA Clippers|Los Angeles Lakers|Memphis Grizzlies,SAC|POR|NOP|BKN|LAC|LAL|MEM,
2429,Dan Gadzuric,Milwaukee Bucks|Golden State Warriors|Brooklyn Nets|New York Knicks,MIL|GSW|BKN|NYK,
1629655,Daniel Gafford,Chicago Bulls|Washington Wizards|Dallas Mavericks,CHI|WAS|DAL,
76770,Corey Gaines,Brooklyn Nets|Philadelphia 76ers|Denver Nuggets|New York Knicks,BKN|PHI|DEN|NYK,
2558,Reece Gaines,Orlando Magic|Houston Rockets|Milwaukee Bucks,ORL|HOU|MIL,
202178,Sundiata Gaines,Utah Jazz|Minnesota Timberwolves|Toronto Raptors|Brooklyn Nets,UTA|MIN|TOR|BKN,
76771,Mike Gale,San Antonio Spurs|Portland Trail Blazers|Golden State Warriors,SAS|POR|GSW,
76773,Harry Gallatin,New York Knicks|Detroit Pistons,NYK|DET,
201568,Danilo Gallinari,New York Knicks|Denver Nuggets|LA Clippers|Oklahoma City Thunder|Atlanta Hawks|Washington Wizards|Detroit Pistons|Milwaukee Bucks,NYK|DEN|LAC|OKC|ATL|WAS|DET|MIL,
204038,Langston Galloway,New York Knicks|New Orleans Pelicans|Sacramento Kings|Detroit Pistons|Phoenix Suns|Brooklyn Nets|Milwaukee Bucks,NYK|NOP|SAC|DET|PHX|BKN|MIL,
76774,Dave Gambee,Atlanta Hawks|Philadelphia 76ers|Houston Rockets|Milwaukee Bucks|Detroit Pistons|Golden State Warriors,ATL|PHI|HOU|MIL|DET|GSW,
333,Kevin Gamble,Portland Trail Blazers|Boston Celtics|Miami Heat|Sacramento Kings,POR|BOS|MIA|SAC,
200816,Jorge Garbajosa,Toronto Raptors,TOR,
2092,Ruben Garces,Phoenix Suns|Golden State Warriors,PHX|GSW,
2682,Alex Garcia,San Antonio Spurs|New Orleans Pelicans,SAS|NOP,
101128,Francisco Garcia,Sacramento Kings|Houston Rockets,SAC|HOU,
201242,Thomas Gardner,Chicago Bulls|Atlanta Hawks,CHI|ATL,
76779,Vern Gardner,Golden State Warriors,GSW,
76780,Jack Garfinkel,Boston Celtics,BOS,
76006,Forest Able,,,
76007,John Abramovic,,,
76008,Donald Ackerman,,,
76010,Charles Acton,,,
1629061,Deng Adel,,,
203006,Josh Akognon,,,
1629152,DeVaughn Akoon-Purcell,,,
203128,Furkan Aldemir,,,
76021,Chuck Aleksinas,,,
1626146,Cliff Alexander,,,
1629734,Kyle Alexander,,,
1630234,Ty-Shon Alexander,,,
1628959,Rawle Alkins,,,
76028,Bob Allen,,,
1641851,Timmy Allen,,,
76029,Odis Allison,,,
200984,Lance Allred,,,
76030,Darrell Allums,,,
1824,Peter Aluma,,,
76034,Bob Anderegg,,,
202079,Antonio Anderson,,,
76037,Dwight Anderson,,,
76041,Kim Anderson,,,
76042,Michael Anderson,,,
76048,Wally Anderzunas,,,
101149,Martynas Andriuskevicius,,,
76049,Don Anielak,,,
1630828,Alex Antetokounmpo,,,
203951,Keith Appling,,,
76053,Stacey Arceneaux,,,
76057,Joe Arlauckas,,,
76061,Bob Armstrong,,,
1642379,Taran Armstrong,,,
76062,Jesse Arnelle,,,
76064,Bob Arnzen,,,
76065,John Arthurs,,,
1628503,Jamel Artis,,,
76068,Don Asmonga,,,
76071,Chet Aubuchon,,,
76073,John Austin,,,
76074,Ken Austin,,,
1630555,Joel Ayayi,,,
203569,Chris Babb,,,
76080,Johnny Bach,,,
1630641,Ibou Badji,,,
1630542,Marcus Bagley,,,
1642846,Ace Bailey,,,
1641735,Amari Bailey,,,
76084,Carl Bailey,,,
1858,Mark Baker,,,
76089,Norm Baker,,,
1642380,Adama Bal,,,
76090,Cedric Ball,,,
76092,Herschel Baltimore,,,
1627760,Cat Barber,,,
76096,John Barber,,,
76098,Cliff Barker,,,
76103,Harry Barnes,,,
76109,Norton Barnhill,,,
1642964,Brooks Barnhizer,,,
76111,John Barr,,,
76112,Mike Barr,,,
76113,Thomas Barr,,,
76118,Vic Bartolome,,,
101188,Eddie Basden,,,
76119,Jerry Baskerville,,,
1628238,Paris Bass,,,
2471,Mike Batiste,,,
1641878,Damion Baugh,,,
76126,Frankie Baumholtz,,,
76128,Sergei Bazarevich,,,
76129,Ed Beach,,,
76131,Ralph Beard,,,
2602,Jerome Beasley,,,
76134,Byron Beck,,,
76141,Elmer Behnke,,,
2559,Troy Bell,,,
203968,Jerrelle Benimon,,,
202728,Keith Benson,,,
