编号,英文名,效力球队(全称),效力球队(缩写),中文译名
1631116,Patrick Baldwin Jr.,Golden State Warriors|Washington Wizards|LA Clippers|Philadelphia 76ers|Sacramento Kings,GSW|WAS|LAC|PHI|SAC,
200764,Renaldo Balkman,New York Knicks|Denver Nuggets,NYK|DEN,
1630163,LaMelo Ball,Charlotte Hornets,CHA,
1628366,Lonzo Ball,Los Angeles Lakers|New Orleans Pelicans|Chicago Bulls|Cleveland Cavaliers,LAL|NOP|CHI|CLE,
76091,Greg Ballard,Washington Wizards|Golden State Warriors|Oklahoma City Thunder,WAS|GSW|OKC,
1628964,Mo Bamba,Orlando Magic|Los Angeles Lakers|Philadelphia 76ers|LA Clippers|New Orleans Pelicans|Toronto Raptors|Utah Jazz,ORL|LAL|PHI|LAC|NOP|TOR|UTA,
1631094,Paolo Banchero,Orlando Magic,ORL,
1630217,Desmond Bane,Memphis Grizzlies|Orlando Magic,MEM|ORL,
76093,Gene Banks,San Antonio Spurs|Chicago Bulls,SAS|CHI,
2556,Marcus Banks,Boston Celtics|Minnesota Timberwolves|Phoenix Suns|Miami Heat|Toronto Raptors,BOS|MIN|PHX|MIA|TOR,
76094,Ken Bannister,New York Knicks|LA Clippers,NYK|LAC,
76095,Mike Bantom,Phoenix Suns|Oklahoma City Thunder|Brooklyn Nets|Indiana Pacers|Philadelphia 76ers,PHX|OKC|BKN|IND|PHI,
1630625,Dalano Banton,Toronto Raptors|Boston Celtics|Portland Trail Blazers|LA Clippers,TOR|BOS|POR|LAC,
2571,Leandro Barbosa,Phoenix Suns|Toronto Raptors|Indiana Pacers|Boston Celtics|Golden State Warriors,PHX|TOR|IND|BOS|GSW,
76097,Stephen Bardo,San Antonio Spurs|Dallas Mavericks|Detroit Pistons,SAS|DAL|DET,
200826,J.J. Barea,Dallas Mavericks|Minnesota Timberwolves,DAL|MIN,
200745,Andrea Bargnani,Toronto Raptors|New York Knicks|Brooklyn Nets,TOR|NYK|BKN,
76099,Tom Barker,Atlanta Hawks|Houston Rockets|Boston Celtics|New York Knicks,ATL|HOU|BOS|NYK,
787,Charles Barkley,Philadelphia 76ers|Phoenix Suns|Houston Rockets,PHI|PHX|HOU,
2057,Erick Barkley,Portland Trail Blazers,POR,
76102,Don Barksdale,Boston Celtics,BOS,
1631230,Dominick Barlow,San Antonio Spurs|Atlanta Hawks|Philadelphia 76ers,SAS|ATL|PHI,
203084,Harrison Barnes,Golden State Warriors|Dallas Mavericks|Sacramento Kings|San Antonio Spurs,GSW|DAL|SAC|SAS,
76105,Jim Barnes,New York Knicks|Washington Wizards|Los Angeles Lakers|Chicago Bulls|Boston Celtics,NYK|WAS|LAL|CHI|BOS,
76104,Marvin Barnes,Detroit Pistons|LA Clippers|Boston Celtics,DET|LAC|BOS,
2440,Matt Barnes,LA Clippers|Sacramento Kings|New York Knicks|Philadelphia 76ers|Golden State Warriors|Phoenix Suns|Orlando Magic|Los Angeles Lakers|Memphis Grizzlies,LAC|SAC|NYK|PHI|GSW|PHX|ORL|LAL|MEM,
1630567,Scottie Barnes,Toronto Raptors,TOR,
76107,Dick Barnett,Philadelphia 76ers|Los Angeles Lakers|New York Knicks,PHI|LAL|NYK,
76106,Jim Barnett,Boston Celtics|Houston Rockets|Portland Trail Blazers|Golden State Warriors|New York Knicks|Utah Jazz|Philadelphia 76ers,BOS|HOU|POR|GSW|NYK|UTA|PHI,
76108,John Barnhill,Atlanta Hawks|Detroit Pistons|Washington Wizards|Houston Rockets,ATL|DET|WAS|HOU,
76110,Leo Barnhorst,Detroit Pistons,DET,
2857,Andre Barrett,Houston Rockets|Orlando Magic|Phoenix Suns|Toronto Raptors|Chicago Bulls|LA Clippers,HOU|ORL|PHX|TOR|CHI|LAC,
76114,Ernie Barrett,Boston Celtics,BOS,
1629628,RJ Barrett,New York Knicks|Toronto Raptors,NYK|TOR,
2853,Earl Barron,Miami Heat|New York Knicks|Phoenix Suns|Milwaukee Bucks|Portland Trail Blazers|Golden State Warriors|Washington Wizards,MIA|NYK|PHX|MIL|POR|GSW|WAS,
344,Dana Barros,Oklahoma City Thunder|Philadelphia 76ers|Boston Celtics|Detroit Pistons,OKC|PHI|BOS|DET,
699,Brent Barry,LA Clippers|Miami Heat|Chicago Bulls|Oklahoma City Thunder|San Antonio Spurs|Houston Rockets,LAC|MIA|CHI|OKC|SAS|HOU,
1003,Drew Barry,Atlanta Hawks|Oklahoma City Thunder|Golden State Warriors,ATL|OKC|GSW,
468,Jon Barry,Milwaukee Bucks|Golden State Warriors|Atlanta Hawks|Los Angeles Lakers|Sacramento Kings|Detroit Pistons|Denver Nuggets|Houston Rockets,MIL|GSW|ATL|LAL|SAC|DET|DEN|HOU,
600013,Rick Barry,Golden State Warriors|Houston Rockets,GSW|HOU,
76117,Ed Bartels,New York Knicks,NYK,
203115,Will Barton,Portland Trail Blazers|Denver Nuggets|Washington Wizards|Toronto Raptors,POR|DEN|WAS|TOR,
101138,Brandon Bass,New Orleans Pelicans|Dallas Mavericks|Orlando Magic|Boston Celtics|Los Angeles Lakers|LA Clippers,NOP|DAL|ORL|BOS|LAL|LAC,
76120,Tim Bassett,Brooklyn Nets|San Antonio Spurs,BKN|SAS,
1629646,Charles Bassey,Philadelphia 76ers|San Antonio Spurs|Memphis Grizzlies|Boston Celtics|Golden State Warriors,PHI|SAS|MEM|BOS|GSW,
1766,Maceo Baston,Toronto Raptors|Indiana Pacers,TOR|IND,
2370,Mengke Bateer,Denver Nuggets|San Antonio Spurs|Toronto Raptors,DEN|SAS|TOR,
76121,Billyray Bates,Portland Trail Blazers|Washington Wizards|Los Angeles Lakers,POR|WAS|LAL,
1641734,Emoni Bates,Cleveland Cavaliers,CLE,
1628966,Keita Bates-Diop,Minnesota Timberwolves|Denver Nuggets|San Antonio Spurs|Phoenix Suns|Brooklyn Nets,MIN|DEN|SAS|PHX|BKN,
101212,Esteban Batista,Atlanta Hawks,ATL,
1499,Tony Battie,Denver Nuggets|Boston Celtics|Cleveland Cavaliers|Orlando Magic|Brooklyn Nets|Philadelphia 76ers,DEN|BOS|CLE|ORL|BKN|PHI,
2203,Shane Battier,Memphis Grizzlies|Houston Rockets|Miami Heat,MEM|HOU|MIA,
1642419,Jamison Battle,Toronto Raptors,TOR,
174,John Battle,Atlanta Hawks|Cleveland Cavaliers,ATL|CLE,
76123,Kenny Battle,Phoenix Suns|Denver Nuggets|Boston Celtics|Golden State Warriors,PHX|DEN|BOS|GSW,
76124,Dave Batton,Washington Wizards|San Antonio Spurs,WAS|SAS,
201587,Nicolas Batum,Portland Trail Blazers|Charlotte Hornets|LA Clippers|Philadelphia 76ers,POR|CHA|LAC|PHI,
76125,Johnny Baum,Chicago Bulls,CHI,
2437,Lonny Baxter,Chicago Bulls|Toronto Raptors|Washington Wizards|New Orleans Pelicans|Houston Rockets|Charlotte Hornets,CHI|TOR|WAS|NOP|HOU|CHA,
201573,Jerryd Bayless,Portland Trail Blazers|New Orleans Pelicans|Toronto Raptors|Memphis Grizzlies|Boston Celtics|Milwaukee Bucks|Philadelphia 76ers|Minnesota Timberwolves,POR|NOP|TOR|MEM|BOS|MIL|PHI|MIN,
76127,Elgin Baylor,Los Angeles Lakers,LAL,
203382,Aron Baynes,San Antonio Spurs|Detroit Pistons|Boston Celtics|Phoenix Suns|Toronto Raptors,SAS|DET|BOS|PHX|TOR,
203145,Kent Bazemore,Golden State Warriors|Los Angeles Lakers|Atlanta Hawks|Portland Trail Blazers|Sacramento Kings,GSW|LAL|ATL|POR|SAC,
1629647,Darius Bazley,Oklahoma City Thunder|Phoenix Suns|Philadelphia 76ers|Utah Jazz,OKC|PHX|PHI|UTA,
203078,Bradley Beal,Washington Wizards|Phoenix Suns|LA Clippers,WAS|PHX|LAC,
76130,Butch Beard,Atlanta Hawks|Cleveland Cavaliers|Oklahoma City Thunder|Golden State Warriors|New York Knicks,ATL|CLE|OKC|GSW|NYK,
1627736,Malik Beasley,Denver Nuggets|Minnesota Timberwolves|Utah Jazz|Los Angeles Lakers|Milwaukee Bucks|Detroit Pistons,DEN|MIN|UTA|LAL|MIL|DET,
201563,Michael Beasley,Miami Heat|Minnesota Timberwolves|Phoenix Suns|Houston Rockets|Milwaukee Bucks|New York Knicks|Los Angeles Lakers,MIA|MIN|PHX|HOU|MIL|NYK|LAL,
76133,Zelmo Beaty,Atlanta Hawks|Los Angeles Lakers,ATL|LAL,
201958,Rodrigue Beaubois,Dallas Mavericks,DAL,
1630699,MarJon Beauchamp,Milwaukee Bucks|LA Clippers|New York Knicks|Philadelphia 76ers,MIL|LAC|NYK|PHI,
1133,Corey Beck,Charlotte Hornets|Detroit Pistons,CHA|DET,
76136,Ernie Beck,Golden State Warriors|Atlanta Hawks,GSW|ATL,
76137,Moe Becker,Boston Celtics,BOS,
76138,William Bedford,Phoenix Suns|Detroit Pistons|San Antonio Spurs,PHX|DET|SAS,
1641736,Reece Beekman,Golden State Warriors|Brooklyn Nets,GSW|BKN,
76139,Hank Beenders,Golden State Warriors|Boston Celtics,GSW|BOS,
76140,Ron Behagen,Sacramento Kings|Utah Jazz|Atlanta Hawks|Houston Rockets|Indiana Pacers|Detroit Pistons|New York Knicks|Washington Wizards,SAC|UTA|ATL|HOU|IND|DET|NYK|WAS,
201158,Marco Belinelli,Golden State Warriors|Toronto Raptors|New Orleans Pelicans|Chicago Bulls|San Antonio Spurs|Sacramento Kings|Charlotte Hornets|Atlanta Hawks|Philadelphia 76ers,GSW|TOR|NOP|CHI|SAS|SAC|CHA|ATL|PHI,
2294,Charlie Bell,Phoenix Suns|Dallas Mavericks|Milwaukee Bucks|Golden State Warriors,PHX|DAL|MIL|GSW,
76142,Dennis Bell,New York Knicks,NYK,
1628395,Jordan Bell,Golden State Warriors|Minnesota Timberwolves|Memphis Grizzlies|Washington Wizards|Chicago Bulls,GSW|MIN|MEM|WAS|CHI,
1952,Raja Bell,Philadelphia 76ers|Dallas Mavericks|Utah Jazz|Phoenix Suns|Charlotte Hornets|Golden State Warriors,PHI|DAL|UTA|PHX|CHA|GSW,
76143,William Bell,New York Knicks,NYK,
76144,Walt Bellamy,Washington Wizards|New York Knicks|Detroit Pistons|Atlanta Hawks|Utah Jazz,WAS|NYK|DET|ATL|UTA,
1627761,DeAndre' Bembry,Atlanta Hawks|Toronto Raptors|Brooklyn Nets|Milwaukee Bucks,ATL|TOR|BKN|MIL,
76145,Irv Bemoras,Atlanta Hawks,ATL,
76146,Leon Benbow,Chicago Bulls,CHI,
1627733,Dragan Bender,Phoenix Suns|Milwaukee Bucks|Golden State Warriors,PHX|MIL|GSW,
1886,Jonathan Bender,Indiana Pacers|New York Knicks,IND|NYK,
104,Benoit Benjamin,LA Clippers|Oklahoma City Thunder|Los Angeles Lakers|Brooklyn Nets|Memphis Grizzlies|Milwaukee Bucks|Toronto Raptors|Philadelphia 76ers|Cleveland Cavaliers,LAC|OKC|LAL|BKN|MEM|MIL|TOR|PHI|CLE,
1736,Corey Benjamin,Chicago Bulls|Atlanta Hawks,CHI|ATL,
203461,Anthony Bennett,Cleveland Cavaliers|Minnesota Timberwolves|Toronto Raptors|Brooklyn Nets,CLE|MIN|TOR|BKN,
1120,Elmer Bennett,Cleveland Cavaliers|Philadelphia 76ers|Houston Rockets|Denver Nuggets,CLE|PHI|HOU|DEN,
712,Mario Bennett,Phoenix Suns|Los Angeles Lakers|Chicago Bulls|LA Clippers,PHX|LAL|CHI|LAC,
76151,Mel Bennett,Indiana Pacers|Utah Jazz|Cleveland Cavaliers,IND|UTA|CLE,
76148,Tony Bennett,Charlotte Hornets,CHA,
76152,Winston Bennett,Cleveland Cavaliers|Miami Heat,CLE|MIA,
128,David Benoit,Utah Jazz|Brooklyn Nets|Orlando Magic,UTA|BKN|ORL,
76154,Kent Benson,Milwaukee Bucks|Detroit Pistons|Utah Jazz|Cleveland Cavaliers,MIL|DET|UTA|CLE,
76158,Walter Berry,Portland Trail Blazers|San Antonio Spurs|Brooklyn Nets|Houston Rockets,POR|SAS|BKN|HOU,
202722,Davis Bertans,San Antonio Spurs|Washington Wizards|Dallas Mavericks|Oklahoma City Thunder|Charlotte Hornets,SAS|WAS|DAL|OKC|CHA,
76159,Del Beshore,Milwaukee Bucks|Chicago Bulls,MIL|CHI,
696,Travis Best,Indiana Pacers|Chicago Bulls|Miami Heat|Dallas Mavericks|Brooklyn Nets,IND|CHI|MIA|DAL|BKN,
201976,Patrick Beverley,Houston Rockets|LA Clippers|Minnesota Timberwolves|Los Angeles Lakers|Chicago Bulls|Philadelphia 76ers|Milwaukee Bucks,HOU|LAC|MIN|LAL|CHI|PHI|MIL,
